DC.identifier,DC.source,DC.date,DC.title,DC.publisher,filename_html,filename,n_tokens
1571189,https://www.berlin.de/rbmskzl/aktuelles/pressemitteilungen/2025/pressemitteilung.1571189.php,18.06.2025,Mehr Sicherheit für Daten und Digitalisierungsprojekte – der neue Data-Governance-Wegweiser,Presse- und Informationsamt des Landes Berlin,1571189.html,1571189.txt,786
1571151,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2025/pressemitteilung.1571151.php,18.06.2025,Aufruf zur Teilnahme: Online-Befragung Spandauer Unternehmen zur Entwicklung eines bezirklichen Wirtschaftsflächenkonzepts gestartet,Bezirksamt Spandau,1571151.html,1571151.txt,713
1571106,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1571106.php,18.06.2025,Marzahn-Hellersdorf sucht freie Räume für bürgerschaftliches Engagement,Bezirksamt Marzahn-Hellersdorf,1571106.html,1571106.txt,671
1571032,https://www.berlin.de/ba-lichtenberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1571032.php,18.06.2025,4. Queere Kunst- und Kulturtage in Lichtenberg,Bezirksamt Lichtenberg,1571032.html,1571032.txt,828
1571030,https://www.berlin.de/ba-neukoelln/aktuelles/pressemitteilungen/2025/pressemitteilung.1571030.php,18.06.2025,Online-Umfrage zur Sauberkeit und Ordnung in Berlin,Bezirksamt Neukölln,1571030.html,1571030.txt,978
1571042,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1571042.php,18.06.2025,"Lesung von Mareike Barmeyer mit „Lauf, Mama, lauf! Geschichten mit Kindern“ in der Bezirkszentralbibliothek",Bezirksamt Friedrichshain-Kreuzberg,1571042.html,1571042.txt,1524
1571021,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1571021.php,18.06.2025,"24. öffentliche Sitzung des Ausschusses für Gebäude, Wirtschaft, Inklusion, Verwaltungsmodernisierung, Digitalisierung",Bezirksamt Steglitz-Zehlendorf,1571021.html,1571021.txt,703
1570984,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2025/pressemitteilung.1570984.php,18.06.2025,Presseeinladung: Hissen der Prideflagge am 09.07.2025 vor dem Rathaus Spandau,Bezirksamt Spandau,1570984.html,1570984.txt,633
1571001,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2025/pressemitteilung.1571001.php,18.06.2025,JazzOrchester X-berg (JOX) gewinnt 1. Platz beim Deutschen Orchesterwettbewerb 2025,Bezirksamt Friedrichshain-Kreuzberg,1571001.html,1571001.txt,1493
1570968,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2025/pressemitteilung.1570968.php,18.06.2025,Sommerzeit ist Badezeit: Der FEZ-Badesee startet in die Saison,Bezirksamt Treptow-Köpenick,1570968.html,1570968.txt,944
1570921,https://www.berlin.de/ba-neukoelln/aktuelles/pressemitteilungen/2025/pressemitteilung.1570921.php,18.06.2025,Bürgersprechstunden der Bezirksamtsmitglieder und Kiez-Tour mit Bezirksbürgermeister,Bezirksamt Neukölln,1570921.html,1570921.txt,904
1570899,https://www.berlin.de/ba-reinickendorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570899.php,17.06.2025,Reinickendorf gedenkt der Opfer des Volksaufstandes vom 17. Juni 1953,Bezirksamt Reinickendorf,1570899.html,1570899.txt,729
1570886,https://www.berlin.de/ba-charlottenburg-wilmersdorf/aktuelles/pressemitteilungen/2025/pressemitteilung.1570886.php,17.06.2025,Starker Befall mit Eichenprozessionsspinnern im Volkspark Jungfernheide – Teilweise Schließungen und Schutzmaßnahmen,Bezirksamt Charlottenburg-Wilmersdorf,1570886.html,1570886.txt,1313
